id,text,category,severity,sentiment,qr_type
FB-00001,Saya baru menyadari setelah pembayaran selesai bahwa nama merchant yang muncul pada detail transaksi QRIS tidak sesuai dengan nama toko tempat saya berbelanja di Masjid Al-Ikhlas.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00002,Hati-hati stiker barcode QRIS fisik di counter pembayaran Bengkel Motor Jaya Bekasi sengaja ditimpa stiker tempelan palsu lain oleh oknum penipu!,PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00003,"Proses pembayaran QRIS sebenarnya sudah selesai di layar HP saya, cuma saya merasa agak bingung saja dengan detail tampilan konfirmasi QRIS yang muncul di toko Soto Ayam Lamongan Cak Har.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00004,Sikap staf kasir di stiker dinding Counter Pulsa Cell sangat tidak sopan dan menolak scan QRIS dengan alasan sinyal toko jelek padahal koneksi internet lancar.,KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00005,"Saya menemukan stiker QRIS tempelan penipu di meja barcode Barbershop Bro & Co, ujung stikernya terkelupas dan di bawahnya masih ada barcode aslinya.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00006,"Entah kenapa transaksi pembayaran QRIS yang baru saja saya lakukan di Kedai Mie Aceh Makassar terasa agak aneh dan membingungkan ketika selesai diproses, tolong dicek ya tim LaQris.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00007,Sikap staf kasir di gerobak jualan Kopi Kenangan Senja sangat tidak sopan dan menolak scan QRIS dengan alasan sinyal toko jelek padahal koneksi internet lancar.,KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00008,"Cek mutasi setelah transaksi QRIS di Warung Nasi Bu Imas, nominal pembayaran pas dengan yang saya ketik, tidak ada biaya potongan dan pembayaran QRIS selesai aman sentosa.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00009,"Proses pembayaran QRIS statis berlangsung sangat cepat tanpa kendala apapun di kedai kopi Apotek Sehat Sejahtera, struk dan bukti transfer digital QRIS tersimpan rapi di aplikasi OVO.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00010,"Stiker QRIS di Toko Sembako Berkah Bekasi ini palsu bro, ada stiker tipis yang sengaja dipasang menutupi barcode resmi kasir toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00011,Toko Apotek Sehat Sejahtera di Jakarta mengenakan biaya charge tambahan sebesar Rp2.000 khusus untuk setiap transaksi yang menggunakan QRIS statis.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00012,"Saya tadi bayar belanjaan pakai barcode QRIS tapi lupa melihat detail layarnya karena terburu-buru pergi, tolong bantu verifikasi apakah transaksi saya aman.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00013,Penjual di Masjid Al-Ikhlas meminta saya melebihkan uang saat input nominal QRIS dengan alasan biaya administrasi jika bayar nontunai.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
