text,category,severity
"Pelayanan di Counter Pulsa Cell sangat mengecewakan, kasirnya marah-marah saat disuruh cek notifikasi pembayaran QRIS yang sudah sukses di HP saya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"QRIS di pintu masuk toko Bakso Pak Kumis terawat sangat bersih, mudah discan dari jarak jauh, kasir sigap mengecek notifikasi masuk.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Demi keamanan sebelum bayar QRIS, saya memastikan identitas penerima terlebih dahulu. Nama yang terdaftar pada sistem malah mengarah ke rekening pribadi orang lain yang tidak dikenal.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Lapor min, Saya mau komplain soal pelayanan tadi siang.",FEEDBACK_AMBIGU,MEDIUM
"Pengalaman pembayaran QRIS di stand minuman RM Padang Murah luar biasa aman dan nyaman, struk langsung tercetak dan nominal pembayaran tepat 25.000.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Semua berjalan sempurna saat bayar QRIS di Kedai Mie Aceh, akrilik barcode mulus, tidak ada kejanggalan, kasir melayani dengan sangat baik.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
Di Masjid Al-Ikhlas kasirnya terang-terangan minta uang tambahan Rp 1.500 dengan alasan biaya potong saldo QRIS.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Kasir di kasir Minimarket Barokah sangat lambat dan tidak paham cara konfirmasi transaksi QRIS sampai saya harus menunggu 15 menit di antrean.,KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Awas ada stiker QRIS siluman di kaca kasir Kopi Kenangan Senja, stikernya dobel bertumpuk dan sangat mencurigakan.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Akrilik QRIS di pintu masuk toko Warung Nasi Bu Imas pecah dan retak melintang tepat di atas QR code, membuat aplikasi e-wallet tidak bisa membaca barcode.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Saya lupa melihat rincian resi pembayaran di layar ponsel saya setelah scan barcode di Bakso Pak Kumis karena terburu-buru mengejar kendaraan, saya hanya ingin memastikan apakah pembayaran saya sudah tercatat aman.",FEEDBACK_AMBIGU,MEDIUM
Kasir di Toko Sembako Berkah Makassar memaksa saya membayar biaya tambahan surcharge Rp 1.000 saat saya bayar tagihan 10.000 pakai QRIS.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Stiker barcode QRIS di meja kasir Counter Pulsa Cell sudah sobek parah di bagian tengah sampai kode matriksnya hilang dan gagal discan kamera ponsel.,KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Jangan scan QRIS di plang kasir RM Padang Murah, itu barcode QRIS palsu sengaja ditimpa stiker penipu untuk mengalihkan transaksi pelanggan!",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
Saya memeriksa detail informasi QRIS termasuk NMID dan nama merchant sebelum transfer. Informasi yang tampil di layar HP berbeda dari nama toko sehingga menimbulkan kecurigaan.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Saya scan QRIS asli toko di Barbershop Bro & Co, pas masuk halaman konfirmasi DANA nama pemilik merchant yang keluar adalah nama pribadi asing WARUNG PALSU 99.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
Kasir di kasir Counter Pulsa Cell sangat lambat dan tidak paham cara konfirmasi transaksi QRIS sampai saya harus menunggu 15 menit di antrean.,KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Pelayanan di Kedai Mie Aceh sangat mengecewakan, kasirnya marah-marah saat disuruh cek notifikasi pembayaran QRIS yang sudah sukses di HP saya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Saya lupa melihat rincian resi pembayaran di layar ponsel saya setelah scan barcode di Es Teh Nusantara karena terburu-buru mengejar kendaraan, saya hanya ingin memastikan apakah pembayaran saya sudah tercatat aman.",FEEDBACK_AMBIGU,MEDIUM
"Jangan scan QRIS di plang kasir Warung Nasi Bu Imas, itu barcode QRIS palsu sengaja ditimpa stiker penipu untuk mengalihkan transaksi pelanggan!",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Ada sedikit hal yang terasa tidak biasa waktu saya mencoba melakukan pembayaran di tent card meja Ayam Geprek Juara tadi siang, tampilannya agak berbeda dari pengalaman saya biasanya dan saya merasa ragu meskipun tidak tahu apa penyebabnya.",FEEDBACK_AMBIGU,MEDIUM
Saya memeriksa detail informasi QRIS termasuk NMID dan nama merchant sebelum transfer. Informasi yang tampil di layar HP justru tidak cocok dan memunculkan nama pribadi asing.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
Permukaan stiker QRIS di kaca kasir Counter Pulsa Cell kotor kena tumpahan minyak dan noda hitam tebal sampai tidak bisa dipindai sama sekali.,KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Waspada modus penempelan stiker palsu di stiker dinding Bengkel Motor Jaya, kode QR asli toko sudah dilapisi stiker barcode cetakan luar.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Parah banget di Toko Sembako Berkah, belanja 500.000 kalau bayar tunai harganya normal tapi kalau scan QRIS kasir naikin harga dan minta tambahan Rp 2.000.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Hati-hati stiker barcode QRIS fisik di stand minuman Kedai Mie Aceh Bandung sengaja ditimpa stiker tempelan palsu lain oleh oknum penipu!,PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Belanja di Laundry Kilat 99 bayar via QRIS bebas biaya tambahan surcharge, kasir ramah mengonfirmasi transaksi dengan senyum dan sopan.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Pelayanan di Toko Sembako Berkah jempolan, pembayaran non-tunai QRIS nominal 250.000 berhasil diproses tanpa masalah apapun.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Tolong dicek min, stiker QR code di akrilik meja Bakso Pak Kumis ada dua lapisan bertumpuk di mana barcode atas adalah stiker palsu.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Demi keamanan sebelum bayar QRIS, saya memastikan identitas penerima terlebih dahulu. Nama yang terdaftar pada sistem berbeda dengan nama toko tempat saya berbelanja.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Pelayanan di Es Teh Nusantara sangat mengecewakan, kasirnya marah-marah saat disuruh cek notifikasi pembayaran QRIS yang sudah sukses di HP saya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
Toko Bengkel Motor Jaya melanggar aturan Bank Indonesia karena menarik biaya tambahan 2% saat saya membayar via QRIS di meja kasir.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Penolakan sepihak transaksi QRIS di RM Padang Murah, kasir bersikeras hanya menerima uang cash fisik dengan nada ketus.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Barcode QRIS fisik di meja kasir Ayam Geprek Juara tergores benda tajam sangat parah, kamera HP berkali-kali mencoba selalu gagal baca kodenya.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Kasir di Toko Berkah Jaya mengarahkan untuk scan barcode QRIS. Saya mencocokkan nama usaha pada aplikasi pembayaran dengan nama toko, dan hasilnya sepenuhnya cocok dengan nama outlet tempat saya belanja.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Saya scan QRIS asli toko di Barbershop Bro & Co, pas masuk halaman konfirmasi DANA nama pemilik merchant yang keluar adalah nama pribadi asing CV MAJU FIKTIF.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
